"ID","正式名称","正式名称（フリガナ）","略称","略称（フリガナ）","英語表記（ローマ字表記）","機関区分","都道府県コード","市区町村コード","所在地","所在地座標（緯度）","所在地座標（経度）","案内用ホームページアドレス","毎週決まった曜日に休診（月）","毎週決まった曜日に休診（火）","毎週決まった曜日に休診（水）","毎週決まった曜日に休診（木）","毎週決まった曜日に休診（金）","毎週決まった曜日に休診（土）","毎週決まった曜日に休診（日）","決まった週に休診（定期週）第1週（月）","決まった週に休診（定期週）第1週（火）","決まった週に休診（定期週）第1週（水）","決まった週に休診（定期週）第1週（木）","決まった週に休診（定期週）第1週（金）","決まった週に休診（定期週）第1週（土）","決まった週に休診（定期週）第1週（日）","決まった週に休診（定期週）第2週（月）","決まった週に休診（定期週）第2週（火）","決まった週に休診（定期週）第2週（水）","決まった週に休診（定期週）第2週（木）","決まった週に休診（定期週）第2週（金）","決まった週に休診（定期週）第2週（土）","決まった週に休診（定期週）第2週（日）","決まった週に休診（定期週）第3週（月）","決まった週に休診（定期週）第3週（火）","決まった週に休診（定期週）第3週（水）","決まった週に休診（定期週）第3週（木）","決まった週に休診（定期週）第3週（金）","決まった週に休診（定期週）第3週（土）","決まった週に休診（定期週）第3週（日）","決まった週に休診（定期週）第4週（月）","決まった週に休診（定期週）第4週（火）","決まった週に休診（定期週）第4週（水）","決まった週に休診（定期週）第4週（木）","決まった週に休診（定期週）第4週（金）","決まった週に休診（定期週）第4週（土）","決まった週に休診（定期週）第4週（日）","決まった週に休診（定期週）第5週（月）","決まった週に休診（定期週）第5週（火）","決まった週に休診（定期週）第5週（水）","決まった週に休診（定期週）第5週（木）","決まった週に休診（定期週）第5週（金）","決まった週に休診（定期週）第5週（土）","決まった週に休診（定期週）第5週（日）","祝日に休診","その他の休診日（gw、お盆等）","一般病床","療養病床","療養病床のうち医療保険適用","療養病床のうち介護保険適用","精神病床","結核病床","感染症病床","合計病床数"
"4411011100000","聖陵岩里病院","セイリョウイワサトビョウイン","","","Seiryouiwasato Hospital","1","44","204","大分県日田市日ノ隈町２４２","33.316561","130.923150","https://seiryou.or.jp/iwasato/","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","55","0","","","0","0","0","55"
"4411011200000","社会医療法人　長門莫記念会　長門記念病院","シャカイイリョウホウジン　ナガトサダムキネンカイ　ナガトキネンビョイウイン","","","Nagatokinen Hospital","1","44","205","大分県佐伯市鶴岡町","32.959382","131.881739","http://www.nagato.or.jp/","1","1","1","1","1","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","150","100","","","0","0","0","250"
"4411011300000","南海医療センター","ナンカイイリョウセンター","","","Nankai Medical Center","1","44","205","大分県佐伯市常盤西町７番８号","32.965395","131.899796","http://nankai.jcho.go.jp/","1","1","1","1","1","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","12月29日、12月30日、12月31日、1月1日、1月2日、1月3日","191","0","","","0","0","4","195"
"4411011400000","社会医療法人　敬和会　佐伯保養院","シャカイイリョウホウジン　ケイワカイ　サイキホヨウイン","","","Saiki Hoyouin","1","44","205","大分県佐伯市東町２７番１２号","32.963698","131.909473","http://www.saikihoyouin.com/","1","1","1","1","1","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","カレンダー通り","0","0","","","180","0","0","180"
"4411011600000","曽根病院","ソネビョウイン","","","sone byouin","1","44","205","大分県佐伯市長島町２丁目１８番２４号","32.959404","131.908993","http://sone-hp.jp","1","1","1","1","1","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","72","0","","","0","0","0","72"
"4411011700000","渡町台外科病院","トマチダイゲカビョウイン","","","Tomachidaigeka Hospital","1","44","205","大分県佐伯市長島町３－１３－１２","32.956834","131.907154","http://tomachidai.com/","1","1","1","1","1","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","34","0","","","0","0","0","34"
"4411011900000","西田病院","ニシダビョウイン","","","Nishida Hospital","1","44","205","大分県佐伯市鶴岡西町２丁目２６６番地","32.958644","131.864035","http://www.nisida-med.jp/","1","1","1","1","1","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","167","77","","","0","0","0","244"
"4411012000000","御手洗病院","ミタライビョウイン","","","MItarai Hospital","1","44","205","大分県佐伯市蒲江蒲江浦２２１５－９","32.797376","131.927304","","1","1","1","1","1","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","43","0","","","0","0","0","43"
"4411012100000","臼杵市医師会立　コスモス病院","ウスキシイシカイリツコスモスビョウイン","","","Cosmos Hospital","1","44","206","大分県臼杵市大字戸室字長谷１１３１番１","33.123439","131.778819","http://www.usukicosmos-med.or.jp/","1","1","1","1","1","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","176","0","","","0","0","4","180"
"4411012400000","恵の聖母の家","メグミノセイボノイエ","","","Megumi no seibo no ie","1","44","206","大分県臼杵市野津町都原　３６０１－２","33.057804","131.692124","http://www.meguminoseibo.jp","1","1","1","1","1","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","74","0","","","0","0","0","74"
"4411012500000","白川病院","シラカワビョウイン","","","Shirakawa Hospital","1","44","206","大分県臼杵市末広９３８番地","33.136414","131.769550","","1","1","1","1","1","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","8月13日、8月14日、８月15日（改行）12月29日、12月30日、12月31日、1月1日、1月2日、1月3日","0","53","","","120","0","0","173"
