,総　　数,,,,施 設 長,,,,医　　師,,,,歯科医師,,,,生活相談員,,,,社会福祉士(再掲),,,,看護師,,,,准看護師,,,,介護職員,,,,介護福祉士(再掲),,,,管理栄養士,,,,栄 養 士,,,,歯科衛生士,,,,機能訓練指導員,,,,理学療法士(再掲),,,,作業療法士(再掲),,,,言語聴覚士(再掲),,,,看護師(再掲),,,,准看護師(再掲),,,,柔道整復師(再掲),,,,あん摩ﾏｯｻｰｼﾞ指圧師(再掲),,,,はり師・きゅう師(再掲),,,,障害者生活支援員,,,,介護支援専門員,,,,調 理 員,,,,その他の職員,,,
,総　数,常　　勤,,非常勤,総　数,常　　勤,,非常勤,総　数,常　　勤,,非常勤,総　数,常　　勤,,非常勤,総　数,常　　勤,,非常勤,総　数,常　　勤,,非常勤,総　数,常　　勤,,非常勤,総　数,常　　勤,,非常勤,総　数,常　　勤,,非常勤,総　数,常　　勤,,非常勤,総　数,常　　勤,,非常勤,総　数,常　　勤,,非常勤,総　数,常　　勤,,非常勤,総　数,常　　勤,,非常勤,総　数,常　　勤,,非常勤,総　数,常　　勤,,非常勤,総　数,常　　勤,,非常勤,総　数,常　　勤,,非常勤,総　数,常　　勤,,非常勤,総　数,常　　勤,,非常勤,総　数,常　　勤,,非常勤,総　数,常　　勤,,非常勤,総　数,常　　勤,,非常勤,総　数,常　　勤,,非常勤,総　数,常　　勤,,非常勤,総　数,常　　勤,,非常勤
,,専　従,兼　務,,,専　従,兼　務,,,専　従,兼　務,,,専　従,兼　務,,,専　従,兼　務,,,専　従,兼　務,,,専　従,兼　務,,,専　従,兼　務,,,専　従,兼　務,,,専　従,兼　務,,,専　従,兼　務,,,専　従,兼　務,,,専　従,兼　務,,,専　従,兼　務,,,専　従,兼　務,,,専　従,兼　務,,,専　従,兼　務,,,専　従,兼　務,,,専　従,兼　務,,,専　従,兼　務,,,専　従,兼　務,,,専　従,兼　務,,,専　従,兼　務,,,専　従,兼　務,,,専　従,兼　務,,,専　従,兼　務,
　　栃　　　木,7025,3614,1621,1790,148,56,91,1,208,-,1,207,11,1,-,10,216,111,96,8,46,23,20,3,390,179,101,110,262,99,102,61,4303,2655,738,911,2526,1740,473,313,158,80,68,10,57,37,17,3,1,-,-,1,179,46,91,42,22,11,3,7,14,9,3,1,3,1,-,2,68,7,40,21,61,9,42,9,7,5,-,2,2,1,1,-,2,2,-,-,-,-,-,-,195,104,83,8,324,99,104,120,572,147,130,296
　　群　　　馬,9191,4548,2325,2318,183,65,116,2,281,-,-,281,26,-,-,26,268,102,159,6,69,25,43,1,487,196,153,138,419,150,167,102,5333,3345,893,1095,3671,2483,702,485,248,129,107,12,66,30,31,4,26,3,2,20,252,48,143,60,33,15,8,11,10,3,4,2,4,-,1,3,86,12,51,24,103,11,78,15,8,3,-,4,6,4,1,1,1,-,1,-,2,-,2,-,283,98,174,11,594,233,149,213,724,150,228,347
　　埼　　　玉,28565,15366,3947,9253,456,265,189,2,612,7,3,602,71,-,-,71,721,445,245,31,178,113,57,8,1575,706,195,673,937,411,181,346,18102,11280,1944,4878,10343,7086,1199,2058,592,407,150,35,117,71,35,12,29,3,5,20,673,250,234,189,134,64,14,56,50,30,10,11,13,5,-,7,197,39,111,48,165,29,89,48,84,62,12,11,27,19,-,8,3,2,-,1,3,-,3,-,683,396,247,40,935,300,145,491,3059,824,371,1864
　　千　　　葉,24565,10403,6091,8071,447,119,328,-,577,6,21,550,69,2,-,66,675,318,338,19,153,69,76,8,1494,466,399,629,820,225,290,305,14540,7772,2822,3946,7913,4779,1664,1470,522,229,279,15,93,39,46,8,15,-,4,10,666,153,289,225,128,45,21,62,71,24,26,21,22,9,6,8,199,25,106,69,159,4,106,49,58,36,17,6,20,6,4,10,8,4,3,-,3,-,-,3,602,268,311,22,1415,289,337,790,2627,518,627,1483
　　東　　　京,41367,19486,7420,14461,587,315,272,-,1293,30,49,1214,65,1,7,57,1123,627,458,38,344,186,141,17,2763,1017,518,1229,827,319,125,383,25414,14309,4060,7045,15057,9682,2639,2735,773,474,252,47,134,77,40,17,41,8,9,25,1000,437,261,301,289,108,56,125,139,68,36,36,28,8,2,18,142,22,46,74,35,6,13,16,180,116,55,9,166,93,50,23,21,17,3,1,11,8,-,3,1068,452,576,40,1755,550,208,998,4512,862,586,3064
　　神　奈　川,33578,6175,14885,12518,451,135,314,2,736,3,20,713,105,-,1,104,950,183,714,53,206,39,156,10,2206,306,866,1033,651,63,273,315,20584,4740,9814,6030,12195,2907,6757,2531,666,114,482,70,99,13,68,18,68,5,8,55,728,114,382,232,130,17,36,77,67,17,36,14,23,3,10,9,227,12,130,85,74,3,51,20,119,38,68,13,72,20,38,15,17,3,14,-,10,-,-,10,858,185,621,52,1541,72,452,1016,3924,242,870,2813
　　新　　　潟,12633,5849,4047,2737,216,47,166,3,299,1,9,288,17,-,-,17,379,153,218,7,166,69,93,3,830,333,277,220,349,100,142,108,7729,4402,2078,1249,5574,3404,1583,587,286,105,172,9,24,8,15,1,39,13,6,20,350,92,201,57,88,39,37,13,71,31,35,5,14,2,10,1,95,4,69,22,58,6,37,15,20,7,12,1,4,2,2,-,-,-,-,-,2,-,-,2,448,124,310,14,403,181,113,108,1262,289,340,633
　　富　　　山,4792,2471,1002,1319,85,45,40,-,133,3,2,128,11,-,-,11,127,49,72,6,40,17,19,3,249,126,68,55,141,55,45,41,2884,1756,430,697,1967,1379,310,278,122,67,52,3,40,20,17,2,7,1,3,3,95,24,59,12,24,7,13,3,16,5,10,1,2,1,-,1,23,1,17,4,17,5,12,-,10,4,4,2,2,-,1,1,1,-,1,-,-,-,-,-,152,59,82,10,277,126,55,95,469,139,76,254
　　石　　　川,4539,2512,1119,908,77,33,42,2,87,1,1,85,8,1,2,5,110,61,49,-,49,28,21,-,259,129,71,59,140,61,47,32,2723,1828,529,366,1919,1342,409,168,102,55,42,5,26,19,6,1,3,-,3,-,115,36,57,22,26,12,9,4,26,12,6,7,-,-,-,-,26,1,20,5,19,4,14,1,6,3,3,-,10,3,3,4,2,-,2,-,3,1,2,-,135,47,82,6,257,80,92,85,491,158,95,238
　　福　　　井,3813,1713,1113,988,69,14,54,1,84,-,3,81,10,-,1,9,118,32,78,8,38,9,27,2,215,92,58,65,147,61,32,53,2249,1262,502,484,1445,888,336,220,102,37,61,4,29,10,17,2,10,3,2,4,104,36,50,18,30,15,12,3,13,4,9,-,8,4,1,2,22,4,14,3,25,6,11,8,3,-,1,2,2,1,1,-,1,-,1,-,-,-,-,-,151,33,108,10,199,59,74,66,328,73,71,183
　　山　　　梨,2890,1136,1086,668,59,19,40,-,83,-,1,82,4,-,-,4,79,29,48,3,20,3,18,-,174,43,82,50,107,39,46,21,1741,836,604,301,1061,557,380,123,64,20,38,6,15,11,4,-,1,-,-,1,68,9,44,15,15,3,8,5,3,1,1,-,-,-,-,-,29,1,20,8,18,1,14,3,4,3,1,-,-,-,-,-,-,-,-,-,-,-,-,-,80,31,49,-,72,19,25,28,343,80,105,157
