令和5年,介護サービス施設・事業所調査,令和5年10月１日,
閲覧表　介護保険施設,【詳細票】　第32表　介護老人保健施設の従事者数，都道府県、職種（常勤（専従－兼務）－非常勤）別
,総　　数,,,,医師,,,,歯科医師,,,,薬剤師,,,,看護師,,,,准看護師,,,,介護職員,,,,介護福祉士(再掲),,,,支援相談員,,,,社会福祉士(再掲),,,,理学療法士,,,,作業療法士,,,,言語聴覚士,,,,管理栄養士,,,,栄養士,,,,歯科衛生士,,,,介護支援専門員,,,,調理員,,,,その他の職員,,,
,総　数,常　　勤,,非常勤,総数,常勤,,非常勤,総数,常勤,,非常勤,総数,常勤,,非常勤,総数,常勤,,非常勤,総数,常勤,,非常勤,総数,常勤,,非常勤,総数,常勤,,非常勤,総数,常勤,,非常勤,総数,常勤,,非常勤,総数,常勤,,非常勤,総数,常勤,,非常勤,総数,常勤,,非常勤,総数,常勤,,非常勤,総数,常勤,,非常勤,総数,常勤,,非常勤,総数,常勤,,非常勤,総数,常勤,,非常勤,総数,常勤,,非常勤
,,専　従,兼　務,,,専従,兼務,,,専従,兼務,,,専従,兼務,,,専従,兼務,,,専従,兼務,,,専従,兼務,,,専従,兼務,,,専従,兼務,,,専従,兼務,,,専従,兼務,,,専従,兼務,,,専従,兼務,,,専従,兼務,,,専従,兼務,,,専従,兼務,,,専従,兼務,,,専従,兼務,,,専従,兼務,
　　神　奈　川,15680,7701,3132,4846,549,74,147,328,2,-,-,2,225,16,23,186,2210,974,313,923,564,250,67,247,7500,4739,969,1792,4508,3112,529,867,575,367,186,22,160,120,38,2,854,166,523,164,611,112,365,135,185,21,94,70,309,173,113,24,17,5,10,2,30,7,-,23,400,232,152,16,238,86,18,133,1410,481,152,778
　　新　　　潟,6965,3809,2126,1029,189,32,99,59,1,-,-,1,66,3,26,37,844,459,255,129,408,219,103,86,3340,2388,574,378,2637,1981,475,181,266,140,113,13,109,68,38,3,321,65,237,19,196,56,125,16,91,18,63,11,143,82,59,2,8,4,4,-,15,1,6,7,254,80,165,9,226,65,97,64,597,199,200,199
　　富　　　山,3035,2020,365,650,102,27,31,44,1,-,-,1,45,2,10,33,356,269,4,83,232,174,6,51,1399,1101,47,251,1001,831,35,135,101,75,20,5,25,20,3,1,131,74,52,4,122,49,57,16,19,9,9,2,68,47,17,4,15,15,-,-,12,3,3,5,116,32,78,5,106,56,14,36,211,88,16,107
　　石　　　川,2727,1833,494,400,84,23,40,21,1,-,-,1,32,-,6,26,327,227,60,40,184,151,1,32,1310,1044,125,141,874,806,22,46,114,67,45,2,47,29,17,1,92,36,54,2,97,27,62,9,17,2,10,5,68,51,15,2,9,7,-,1,5,-,2,2,90,29,58,2,63,38,-,26,234,130,16,88
　　福　　　井,2291,1425,369,496,78,10,42,26,1,-,1,-,33,1,6,26,232,174,12,45,156,111,5,41,1117,884,45,188,744,613,42,89,82,50,32,1,25,18,7,-,83,41,39,3,55,21,23,11,34,7,17,10,54,32,17,6,20,6,14,1,6,1,1,3,90,25,62,3,62,12,14,36,188,51,42,96
　　山　　　梨,1886,1163,318,405,60,14,23,23,4,2,-,2,29,2,7,20,231,137,29,65,131,88,5,38,920,663,107,150,452,399,5,47,76,44,25,7,20,11,7,1,89,35,40,13,53,18,27,8,9,1,7,1,46,26,17,4,9,7,-,2,6,2,2,2,39,27,11,1,45,21,-,25,137,76,18,43
　　長　　　野,5966,3811,810,1345,231,55,75,101,3,-,2,1,89,6,36,48,705,460,47,198,317,236,7,75,2760,2165,88,507,1985,1650,77,257,226,150,62,13,79,58,14,7,305,128,129,48,227,117,70,40,67,22,27,18,147,96,36,16,22,14,6,2,26,4,8,13,224,89,120,14,186,88,37,61,431,180,61,189
　　岐　　　阜,4454,2761,654,1039,163,42,63,57,1,-,-,1,65,2,18,45,502,334,45,124,309,203,14,92,2191,1599,154,438,1187,965,24,198,170,107,48,15,50,39,7,5,252,96,124,32,128,64,52,13,29,13,6,10,109,63,32,14,21,15,1,5,17,3,5,9,132,63,50,18,102,54,7,41,263,102,36,125
　　静　　　岡,8744,5508,792,2444,311,85,67,159,3,-,-,3,143,7,14,123,1127,699,19,409,489,301,15,173,4132,3126,126,880,2578,2107,98,374,362,250,87,25,89,68,17,3,450,218,150,82,211,100,58,53,59,20,19,19,195,155,30,11,31,27,2,1,45,16,9,20,255,111,122,22,284,118,18,148,645,274,56,316
　　愛　　　知,13057,7670,2293,3093,393,88,143,163,2,-,-,2,211,4,39,167,1636,1120,108,408,731,492,42,198,6014,4631,215,1168,3456,2843,156,457,594,351,204,39,248,162,70,17,840,156,554,130,502,84,309,109,176,15,121,40,317,165,121,30,21,13,3,4,29,9,9,11,420,128,273,19,333,129,37,166,835,284,115,436
