病院コード,病院名,都道府県,構想区域,異常パターン,R4(2022)_高度急性期,R4(2022)_急性期,R4(2022)_回復期,R4(2022)_慢性期,R4(2022)_合計,R5(2023)_高度急性期,R5(2023)_急性期,R5(2023)_回復期,R5(2023)_慢性期,R5(2023)_合計,R6(2024)_高度急性期,R6(2024)_急性期,R6(2024)_回復期,R6(2024)_慢性期,R6(2024)_合計,R4_R6_完全一致,R5のみ異なる
2828070005,医療法人　仁徳会　とくなが病院,兵庫,たつの市,C: 総数増加（1.5倍）,0,56,0,53,109,0,56,0,106,162,0,56,0,53,109,YES,YES
3131010009,国民健康保険智頭病院,鳥取,智頭町,C: 総数増加（1.5倍）,0,52,0,47,99,0,52,0,94,146,0,52,0,47,99,YES,YES
3131030006,医療法人育生会高島病院,鳥取,米子市,C: 総数増加（1.5倍）,0,60,0,59,119,0,60,0,119,179,0,60,0,59,119,YES,YES
3333030006,医療法人真生会新見中央病院,岡山,新見市,C: 総数増加（1.5倍）,0,59,0,56,115,0,59,0,112,171,0,59,0,56,115,YES,YES
4040030016,宗像医師会病院,福岡,宗像,C: 総数増加（1.5倍）,0,116,36,12,164,0,157,72,12,241,0,116,36,12,164,YES,YES
4040120134,小倉到津病院,福岡,北九州市小倉北区,C: 総数増加（1.5倍）,0,0,0,100,100,0,0,0,147,147,0,0,0,100,100,YES,YES
4343070016,谷田病院,熊本,甲佐町,C: 総数増加（1.5倍）,0,39,46,0,85,0,39,92,0,131,0,39,46,0,85,YES,YES
4545010027,医療法人社団仁和会 竹内病院,宮崎,宮崎市,C: 総数増加（1.5倍）,0,36,0,30,66,0,36,0,60,96,0,36,0,30,66,YES,YES
4646010129,新成病院,鹿児島,鹿児島市,C: 総数増加（1.5倍）,0,0,35,30,65,0,0,35,60,95,0,0,35,30,65,YES,YES
101040212,医療法人社団翔仁会輪厚三愛病院,北海道,北広島市,C: 総数増加（1.6倍）,0,59,0,87,146,0,59,0,174,233,0,59,0,87,146,YES,YES
101040322,長生会病院,北海道,札幌市北区,C: 総数増加（1.6倍）,0,0,0,74,74,0,0,0,120,120,0,0,0,74,74,YES,YES
1111090016,医療法人三光会そのベ病院,埼玉,本庄市,C: 総数増加（1.6倍）,0,22,0,29,51,0,0,0,80,80,0,22,0,29,51,YES,YES
1414060024,医療法人徳洲会 清川病院,神奈川,鎌倉市,C: 総数増加（1.6倍）,0,0,89,109,198,0,0,89,218,307,0,0,89,109,198,YES,YES
1414120005,山本記念病院,神奈川,横浜市都筑区,C: 総数増加（1.6倍）,0,49,0,82,131,0,131,0,82,213,0,49,0,82,131,YES,YES
3636010063,手束病院,徳島,石井町,C: 総数増加（1.6倍）,0,0,40,53,93,0,0,40,106,146,0,0,40,53,93,YES,YES
1111030052,埼玉みさと総合リハビリテーション病院,埼玉,三郷市,C: 総数増加（1.7倍）,0,0,175,0,175,0,0,290,0,290,0,0,175,0,175,YES,YES
2323010170,東洋病院,愛知,名古屋市港区,C: 総数増加（1.7倍）,0,0,42,88,130,0,0,42,176,218,0,0,42,88,130,YES,YES
2323050026,医療法人来光会 尾洲病院,愛知,一宮市,C: 総数増加（1.7倍）,0,0,72,59,131,0,0,108,118,226,0,0,72,59,131,YES,YES
2828040057,明石仁十病院,兵庫,明石市,C: 総数増加（1.7倍）,0,29,20,100,149,0,29,20,200,249,0,29,20,100,149,YES,YES
1313050117,医療法人社団中央白報会 白報会王子病院,東京,区西北部,C: 総数増加（1.9倍）,0,60,0,0,60,0,112,0,0,112,0,60,0,0,60,YES,YES
1010070008,内田病院,群馬,沼田市,D: 総数減少,0,49,50,0,99,0,41,50,0,91,0,49,50,0,99,YES,YES
1212010031,医療法人社団創進会みつわ台総合病院,千葉,千葉,D: 総数減少,0,205,50,0,255,0,167,50,0,217,0,205,50,0,255,YES,YES
1212010062,千葉大学医学部附属病院,千葉,千葉,D: 総数減少,775,25,0,0,800,734,25,0,0,759,775,25,0,0,800,YES,YES
1313110004,医療法人財団慈生会 野村病院,東京,三鷹市,D: 総数減少,0,89,44,0,133,0,55,44,0,99,0,89,44,0,133,YES,YES
1414010033,医療法人社団武蔵野会 牧野記念病院,神奈川,横浜,D: 総数減少,0,84,49,50,183,0,52,49,50,151,0,84,49,50,183,YES,YES
1414060043,聖ヨゼフ病院,神奈川,横須賀市,D: 総数減少,0,88,46,94,228,0,88,46,47,181,0,88,46,94,228,YES,YES
1616030009,医療法人高岡みなみハートセンターみなみの杜病院,富山,高岡市,D: 総数減少,0,53,0,84,137,0,53,0,42,95,0,53,0,84,137,YES,YES
2323010139,国家公務員共済組合連合会名城病院,愛知,名古屋・尾張中部,D: 総数減少,6,273,47,0,326,6,225,47,0,278,6,273,47,0,326,YES,YES
2424010002,三重県厚生農業協同組合連合会 三重北医療センター いなべ総合病院,三重,桑員,D: 総数減少,6,214,0,0,220,6,160,0,0,166,6,214,0,0,220,YES,YES
2626050011,医療法人社団医聖会八幡中央病院,京都,八幡市,D: 総数減少,0,0,98,104,202,0,0,98,78,176,0,0,98,104,202,YES,YES
2727070036,医療法人徳洲会　貝塚記念病院,大阪,貝塚市,D: 総数減少,0,0,0,90,90,0,0,0,57,57,0,0,0,90,90,YES,YES
2727070070,泉大津市立病院,大阪,泉州,D: 総数減少,6,208,16,0,230,6,154,16,0,176,6,208,16,0,230,YES,YES
2828010128,舞子台病院,兵庫,神戸市垂水区,D: 総数減少,0,0,60,120,180,0,0,60,60,120,0,0,60,120,180,YES,YES
2828030033,三田市民病院,兵庫,阪神,D: 総数減少,7,293,0,0,300,7,243,0,0,250,7,293,0,0,300,YES,YES
2828050028,北播磨総合医療センター,兵庫,北播磨,D: 総数減少,36,404,0,0,440,36,304,0,0,340,36,404,0,0,440,YES,YES
3535010020,医療法人　岩国みなみ病院,山口,岩国,D: 総数減少,0,60,0,0,60,0,0,0,0,0,0,60,0,0,60,YES,YES
3535030034,徳山病院,山口,周南,D: 総数減少,0,0,78,0,78,0,0,32,0,32,0,0,78,0,78,YES,YES
3939020002,いずみの病院,高知,高知市,D: 総数減少,0,130,60,96,286,0,130,60,48,238,0,130,60,96,286,YES,YES
4040090015,医療法人洗心会 児嶋病院,福岡,飯塚,D: 総数減少,0,44,0,0,44,0,26,0,0,26,0,44,0,0,44,YES,YES
4242010104,長崎みなとメディカルセンター,長崎,長崎,D: 総数減少,47,392,0,0,439,47,354,0,0,401,47,392,0,0,439,YES,YES
4242060010,長崎県五島中央病院,長崎,五島,D: 総数減少,0,140,50,0,190,0,130,50,0,180,0,140,50,0,190,YES,YES
4343010129,帯山中央病院,熊本,熊本市中央区,D: 総数減少,0,0,33,43,76,0,0,33,22,55,0,0,33,43,76,YES,YES
