病院コード,病院名,都道府県,構想区域,2022_総病床数,2022_高度急性期,2022_急性期,2022_回復期,2022_慢性期,2023_総病床数,2023_高度急性期,2023_急性期,2023_回復期,2023_慢性期,2024_総病床数,2024_高度急性期,2024_急性期,2024_回復期,2024_慢性期
4444030212,大分泌尿器科病院,大分,中部,60,0,37,0,23,83,0,37,0,46,60,0,37,0,23
4444080027,秋吉病院,大分,西部,36,0,36,0,0,36,0,0,36,0,36,0,36,0,0
4444090012,医療法人興仁会桑尾病院,大分,宇佐市,32,0,0,0,32,32,0,0,32,0,32,0,0,0,32
2727010035,医療法人篤友会坂本病院,大阪,豊中市,229,0,0,0,229,251,0,0,54,197,229,0,0,0,229
2727020047,大阪医科薬科大学病院,大阪,三島,863,819,0,0,0,863,706,113,0,0,863,819,0,0,0
2727030027,医療法人みどり会中村病院,大阪,枚方市,206,0,48,113,45,251,0,48,113,90,206,0,48,113,45
2727030030,医療法人一祐会藤本病院,大阪,北河内,148,0,100,48,0,148,0,148,0,0,148,0,100,48,0
2727030071,社会医療法人弘道会萱島生野病院,大阪,北河内,140,4,136,0,0,140,0,140,0,0,140,4,136,0,0
2727040025,医療法人桜希会東朋八尾病院,大阪,中河内,94,0,32,30,32,94,0,62,0,32,94,0,32,30,32
2727050006,医療法人宝生会ＰＬ病院,大阪,富田林市,370,45,240,38,47,417,45,240,38,94,370,45,240,38,47
2727060041,堺市立総合医療センター,大阪,堺市,480,480,0,0,0,480,345,135,0,0,480,480,0,0,0
2727070036,医療法人徳洲会　貝塚記念病院,大阪,貝塚市,90,0,0,0,90,57,0,0,0,57,90,0,0,0,90
2727070063,社会医療法人啓仁会咲花病院,大阪,泉州,94,0,50,44,0,94,0,64,30,0,94,0,50,44,0
2727070070,泉大津市立病院,大阪,泉州,230,6,208,16,0,230,6,154,16,0,230,6,208,16,0
2727080003,医療法人尽生会聖和病院,大阪,大阪市都島区,122,0,0,90,32,122,0,49,41,32,122,0,0,90,32
2727080039,医療法人永寿会福島病院,大阪,大阪市,97,0,97,0,0,97,0,58,39,0,97,0,97,0,0
2727080053,医療法人せいわ会大阪たつみリハビリテーション病院,大阪,大阪市,120,0,0,120,0,132,0,0,132,0,120,0,0,120,0
2727080074,医療法人燦恵会首藤病院,大阪,大阪市福島区,86,0,0,0,86,86,0,0,42,44,86,0,0,0,86
2727080096,社会医療法人ONE FLAG牧病院,大阪,大阪市,75,0,75,0,0,75,0,40,35,0,75,0,75,0,0
2727080139,関西電力株式会社関西電力病院,大阪,大阪市,400,6,350,44,0,400,312,44,44,0,400,6,350,44,0
2727080146,公益財団法人日本生命済生会日本生命病院,大阪,大阪市,350,92,258,0,0,350,135,215,0,0,350,92,258,0,0
404030131,独立行政法人国立病院機構仙台西多賀病院,宮城,仙台,440,0,50,100,290,440,0,50,50,340,440,0,50,100,290
4545010027,医療法人社団仁和会 竹内病院,宮崎,宮崎市,66,0,36,0,30,96,0,36,0,60,66,0,36,0,30
1616030009,医療法人高岡みなみハートセンターみなみの杜病院,富山,高岡市,137,0,53,0,84,95,0,53,0,42,137,0,53,0,84
3535010019,国立病院機構 岩国医療センター,山口,岩国,530,266,194,0,24,486,268,194,0,24,484,266,194,0,24
3535010020,医療法人　岩国みなみ病院,山口,岩国,60,0,60,0,0,60,0,0,0,0,60,0,60,0,0
3535030034,徳山病院,山口,周南,78,0,0,78,0,32,0,0,32,0,78,0,0,78,0
606030009,公立置賜総合病院,山形,置賜,446,20,400,0,0,446,71,349,0,0,446,20,400,0,0
2121040003,タジミ第一病院,岐阜,多治見市,50,0,0,30,20,70,0,0,30,40,50,0,0,30,20
3333020033,医療法人仁徳会森下病院,岡山,総社市,64,0,0,38,26,128,0,0,64,64,64,0,0,38,26
3333020083,水島協同病院,岡山,県南西部,282,0,222,0,60,282,0,168,54,60,282,0,222,0,60
3333030006,医療法人真生会新見中央病院,岡山,新見市,115,0,59,0,56,171,0,59,0,112,115,0,59,0,56
3333040003,医療法人社団井口会総合病院落合病院,岡山,真庭市,135,0,50,45,40,175,0,50,45,80,135,0,50,45,40
303010039,髙松病院,岩手,盛岡市,95,0,0,0,95,95,0,40,0,55,95,0,0,0,95
3434060041,公立学校共済組合 中国中央病院,広島,福山・府中,237,98,134,5,0,237,46,186,5,0,237,98,134,5,0
3636010063,手束病院,徳島,石井町,93,0,0,40,53,146,0,0,40,106,93,0,0,40,53
3636010099,中瀬病院,徳島,徳島市,45,0,0,0,45,90,0,0,0,90,45,0,0,0,45
3838020011,横山病院,愛媛,西条市,36,0,0,0,36,36,0,0,36,0,36,0,0,0,36
3838020017,社会福祉法人恩賜財団済生会 西条病院,愛媛,新居浜・西条,150,4,122,24,0,147,4,119,24,0,150,4,122,24,0
3838040116,独立行政法人国立病院機構四国がんセンター,愛媛,松山,368,4,339,25,0,368,4,364,0,0,368,4,339,25,0
3838050009,医療法人青峰会 真網代くじらリハビリテーション病院,愛媛,八幡浜市,89,0,0,46,43,89,0,0,89,0,89,0,0,46,43
3838050015,市立大洲病院,愛媛,八幡浜・大洲,142,0,101,41,0,142,0,142,0,0,142,0,101,41,0
2323010139,国家公務員共済組合連合会名城病院,愛知,名古屋・尾張中部,326,6,273,47,0,326,6,225,47,0,326,6,273,47,0
2323010170,東洋病院,愛知,名古屋市港区,130,0,0,42,88,218,0,0,42,176,130,0,0,42,88
2323050026,医療法人来光会 尾洲病院,愛知,一宮市,131,0,0,72,59,226,0,0,108,118,131,0,0,72,59
2323070005,愛知県厚生農業協同組合連合会知多厚生病院,愛知,知多半島,193,0,108,85,0,193,0,162,31,0,193,0,108,85,0
2323090017,医療法人大朋会 刈谷整形外科病院,愛知,刈谷市,80,0,0,0,0,80,0,0,0,80,80,0,0,0,0
2323090033,社会医療法人財団新和会八千代病院,愛知,安城市,420,58,212,98,52,524,58,212,150,104,420,58,212,98,52
2323120019,医療法人聖俊会 樋口病院,愛知,豊川市,43,0,0,0,43,86,0,0,0,86,43,0,0,0,43
1515010018,新潟聖籠病院,新潟,聖籠町,240,0,60,60,120,300,0,0,120,180,240,0,60,60,120
1515070005,厚生連佐渡総合病院,新潟,佐渡,350,0,190,100,0,290,0,190,50,50,290,0,190,100,0
1313010046,公益財団法人ライフ・エクステンション研究所付属永寿総合病院,東京,区中央部,400,8,376,16,0,400,8,376,0,16,400,8,376,16,0
1313010060,東京医科歯科大学病院,東京,区中央部,772,710,62,0,0,772,757,15,0,0,772,710,62,0,0
1313020010,医療法人財団中島記念会 大森山王病院,東京,大田区,65,0,0,30,35,100,0,0,30,70,65,0,0,30,35
1313020055,東急株式会社 東急病院,東京,区南部,135,0,135,0,0,135,45,90,0,0,135,0,135,0,0
1313030007,医療法人財団日扇会 第一病院,東京,区西南部,46,0,0,46,0,46,0,46,0,0,46,0,0,46,0
1313040005,ニューハート・ワタナベ国際病院,東京,区西部,44,9,35,0,0,44,44,0,0,0,44,9,35,0,0
1313040083,一般社団法人ＩＣＲ附属 クリニカルリサーチ東京病院,東京,区西部,50,0,0,50,0,50,0,50,0,0,50,0,0,50,0
1313050117,医療法人社団中央白報会 白報会王子病院,東京,区西北部,112,0,60,0,0,112,0,112,0,0,112,0,60,0,0
1313060015,医療法人財団謙仁会亀有病院,東京,葛飾区,98,0,60,0,38,136,0,60,0,76,98,0,60,0,38
1313060072,医療法人社団藤寿会 佐藤病院,東京,荒川区,98,0,60,0,38,136,0,60,0,76,98,0,60,0,38
1313060096,社会医療法人社団昭愛会 水野記念リハビリテーション病院,東京,足立区,90,0,0,90,0,120,0,0,120,0,90,0,0,90,0
1313070082,社会医療法人社団森山医会 森山脳神経センター病院,東京,江戸川区,149,0,43,106,0,153,0,47,106,0,149,0,43,106,0
1313090006,みなみ野循環器病院,東京,南多摩,20,4,16,0,0,20,0,20,0,0,20,4,16,0,0
1313090027,医療法人社団玉栄会東京天使病院,東京,南多摩,122,0,39,83,0,122,0,0,122,0,122,0,39,83,0
1313090046,医療法人社団創生会 町田病院,東京,南多摩,120,0,60,60,0,133,0,82,51,0,120,0,60,60,0
1313110004,医療法人財団慈生会 野村病院,東京,三鷹市,133,0,89,44,0,133,0,55,44,0,133,0,89,44,0
1313110029,医療法人社団大日会 小金井太陽病院,東京,小金井市,115,0,26,29,60,175,0,86,29,60,115,0,26,29,60
909050008,とちぎメディカルセンターしもつが,栃木,県南,301,0,301,0,0,301,0,257,0,44,301,0,301,0,0
4747030002,おもろまちメディカルセンター,沖縄,那覇市,154,0,94,0,60,214,0,94,0,120,154,0,94,0,60
4747050003,沖縄県立八重山病院,沖縄,八重山,264,23,241,0,0,255,23,232,0,0,264,23,241,0,0
2525010005,医療法人華頂会琵琶湖養育院病院,滋賀,大津市,154,0,0,43,111,154,0,0,0,154,154,0,0,43,111
4343010017,くまもと成仁病院,熊本,熊本市東区,180,0,0,87,93,180,0,0,50,130,180,0,0,87,93
4343010024,医療法人 相生会 にしくまもと病院,熊本,熊本市南区,146,0,38,108,0,146,0,72,74,0,146,0,38,108,0
4343010058,菊南病院,熊本,熊本市北区,150,0,0,92,58,186,0,0,128,58,150,0,0,92,58
4343010129,帯山中央病院,熊本,熊本市中央区,76,0,0,33,43,76,0,0,33,22,76,0,0,33,43
4343050008,菊池中央病院,熊本,菊池,102,0,0,55,47,102,0,55,0,47,102,0,0,55,47
4343070016,谷田病院,熊本,甲佐町,85,0,39,46,0,131,0,39,92,0,85,0,39,46,0
1414010033,医療法人社団武蔵野会 牧野記念病院,神奈川,横浜,183,0,84,49,50,183,0,52,49,50,183,0,84,49,50
